Date,ALUA,BBAR,BMA,CEPU,COME,CRES,CVH,EDN,GGAL,LOMA,MIRG,PAMP,SUPV,TECO2,TGNO4,TGSU2,TRAN,TXAR,YPFD,VALO
2016-01-04,11.45,87.9,79.5,11.5,1.57123,17.4,,12.0,35.9,,188.33333,11.05,,43.0,6.41845,16.5,8.14,8.26,220.0,1.7771388292312622
2016-01-05,11.4,89.45,80.75,11.125,1.57993,17.25,,12.05,36.35,,215.0,11.0,,46.0,6.41845,16.3,8.1,8.15,218.95,1.7771388292312622
2016-01-06,10.9,91.0,82.5,11.125,1.56688,17.0,,12.2,36.4,,215.0,11.25,,46.5,6.50885,17.1,8.07,7.99,215.05,1.7771388292312622
2016-01-07,10.8,91.0,84.0,11.0625,1.55382,16.3,,12.25,36.6,,224.33333,11.15,,46.0,6.32805,16.95,7.9,7.78,218.0,1.7771388292312622
2016-01-08,10.55,90.9,82.5,11.0625,1.56688,16.3,,12.4,35.9,,243.33333,11.6,,47.5,6.32805,16.95,8.0,7.75,213.0,1.7771388292312622
2016-01-11,10.25,92.0,80.0,10.875,1.54512,15.5,,12.15,36.0,,243.0,11.15,,47.5,6.14725,16.25,7.7,7.23,201.0,1.7771388292312622
2016-01-12,9.6,91.4,81.5,10.625,1.52335,14.8,,11.75,36.0,,229.0,11.0,,44.5,6.05685,15.5,7.25,7.22,196.5,1.7771388292312622
2016-01-13,9.15,91.0,82.25,10.25,1.41889,13.6,,11.15,35.6,,214.0,10.95,,45.45,5.78565,14.95,7.1,6.84,187.0,1.7771388292312622
2016-01-14,9.25,91.0,83.5,10.375,1.519,14.5,,11.3,35.6,,229.61665,11.4,,43.1,5.75852,15.0,7.28,6.96,195.0,1.7771388292312622
2016-01-15,8.63,84.5,77.3,9.925,1.41454,13.4,,10.9,33.35,,233.33333,10.65,,40.5,5.55964,14.5,6.76,6.6,190.0,1.7771388292312622
2016-01-18,8.25,84.5,76.05,10.11875,1.39713,13.3,,10.6,33.35,,228.0,10.15,,38.5,5.33364,13.9,6.45,6.44,184.0,1.7771388292312622
2016-01-19,8.22,84.0,80.2,10.125,1.40584,13.3,,10.9,33.75,,223.33333,10.45,,40.0,5.42404,14.15,6.55,6.56,186.0,1.7771388292312622
2016-01-20,8.0,78.5,74.6,9.875,1.34926,12.7,,10.4,32.5,,214.33333,9.85,,39.0,5.24324,14.0,6.37,6.3,179.0,1.7771388292312622
2016-01-21,8.22,82.45,78.0,9.75,1.34926,12.85,,10.8,34.15,,227.16667,10.4,,41.9,5.33364,14.45,6.5,6.42,193.0,1.7771388292312622
