Date,ALUA,BBAR,BMA,CEPU,COME,CRES,CVH,EDN,GGAL,LOMA,MIRG,PAMP,SUPV,TECO2,TGNO4,TGSU2,TRAN,TXAR,YPFD,VALO.BA
2019-01-07,18.3,152.0,187.5,34.5,1.6603,48.15,201.92891,50.4,117.5,84.9,347.5,52.9,67.3,110.5,55.41563,117.25,49.55,14.95,539.0,4.695555686950684
2019-01-08,18.7,153.0,184.0,34.2,1.66505,47.75,198.49611,50.5,116.5,90.0,345.0,53.8,65.6,115.0,55.41563,114.5,50.4,15.2,536.5,4.7818708419799805
2019-01-09,19.05,156.5,187.5,36.4,1.66505,48.7,210.00606,51.6,120.5,94.0,353.0,55.3,68.6,117.0,56.68124,118.0,51.4,15.4,538.5,4.833659648895264
2019-01-10,18.9,159.3,194.5,37.6,1.6603,47.5,214.4485,51.5,123.7,96.6,350.0,53.5,71.35,119.95,56.95245,118.4,53.3,15.9,535.20001,4.7818708419799805
2019-01-11,18.45,157.35001,194.10001,37.15,1.6603,48.6,212.4292,51.4,120.2,93.5,364.5,53.35,71.3,118.2,57.49485,118.35,52.9,15.75,549.70001,4.747344970703125
2019-01-14,17.9,155.55,197.8,37.55,1.6271,48.6,207.98677,51.2,118.35,94.9,362.5,53.0,70.6,118.3,58.85086,118.85,54.0,15.75,536.59998,4.816397190093994
2019-01-15,17.8,155.89999,196.10001,37.6,1.58915,48.25,203.54433,50.2,117.5,92.15,366.0,53.2,69.6,119.5,58.67006,120.0,53.9,15.05,532.34998,4.842291831970215
2019-01-16,18.05,162.95,190.55,38.4,1.61287,49.25,214.85236,52.05,119.5,94.4,370.0,53.8,69.85,122.7,59.66447,122.9,55.0,15.25,554.34998,4.919973850250244
2019-01-17,18.05,163.0,194.89999,38.2,1.69825,49.25,212.4292,51.95,119.15,93.35,370.5,53.8,69.85,125.0,59.66447,124.8,55.5,15.05,563.25,4.971765041351318
2019-01-18,18.25,164.8,203.35001,38.45,1.75044,49.5,223.73723,51.7,126.0,95.35,384.5,54.0,71.5,123.3,58.94126,124.8,56.1,15.05,578.25,5.153026580810547
2019-01-21,18.6,161.3,205.60001,38.2,1.75992,48.5,220.10251,51.7,125.45,93.0,399.0,53.7,72.85,122.0,60.02607,124.05,56.2,15.2,596.5,5.222079277038574
2019-01-22,18.35,157.0,196.5,36.15,1.68402,47.7,216.06392,50.4,120.85,93.2,379.0,52.05,68.0,122.05,57.85645,122.0,55.8,14.85,572.15002,5.049448013305664
2019-01-23,18.5,157.95,206.35001,36.85,1.69351,48.05,216.46779,50.7,127.7,91.65,395.0,52.35,69.85,120.4,59.12206,123.35,56.5,15.2,567.45001,5.127132415771484
2019-01-24,18.45,159.25,204.60001,37.65,1.68402,48.95,216.46779,50.95,124.9,91.7,400.0,52.6,70.25,122.1,58.85086,123.4,57.1,15.25,591.95001,5.368815898895264
2019-01-25,18.4,157.85001,205.39999,37.5,1.64607,49.0,212.02534,50.8,126.9,92.7,393.5,51.5,69.55,121.0,57.58525,121.15,56.7,15.15,575.45001,5.308394908905029
2019-01-28,17.8,161.89999,205.7,36.8,1.59864,49.5,207.98677,52.0,130.95,92.45,384.0,51.55,72.7,121.0,56.95245,122.0,55.6,14.85,567.70001,5.2134480476379395
2019-01-29,18.6,165.5,215.45,38.0,1.61287,50.2,212.4292,52.55,130.7,92.95,383.5,52.55,74.05,123.65,58.48925,123.85,56.5,15.15,589.0,5.2566046714782715
2019-01-30,19.25,169.7,214.85001,38.1,1.60812,50.45,216.06392,53.2,132.5,95.5,386.0,53.3,77.15,123.6,59.57407,125.6,57.1,15.05,595.54999,5.273868560791016
2019-01-31,19.05,168.0,214.5,38.45,1.64607,50.0,221.31407,53.5,135.35001,93.8,384.5,53.25,77.7,123.8,60.29727,125.85,57.1,15.15,606.29999,5.317025184631348
2019-02-01,19.1,166.35001,216.0,39.8,1.68402,50.75,231.41052,54.9,134.05,94.85,384.5,53.25,79.6,124.35,62.82849,124.45,58.9,15.5,614.75,5.308394908905029
2019-02-04,18.55,171.5,222.64999,41.75,1.67454,51.1,233.02596,54.0,137.55,95.95,376.5,53.1,84.15,123.05,64.4557,123.45,58.7,15.15,615.65002,5.334290027618408
2019-02-05,18.45,174.3,223.60001,42.0,1.66505,51.7,228.58351,54.15,139.0,96.0,373.0,55.9,84.6,123.35,63.28049,125.45,59.7,15.15,613.09998,5.394710063934326
2019-02-06,18.2,168.10001,216.05,42.25,1.6271,51.4,222.52565,54.3,134.85001,94.0,367.5,55.6,81.05,118.5,62.10528,122.25,59.3,15.2,604.59998,5.2566046714782715
2019-02-07,18.25,163.5,213.14999,40.3,1.59864,51.4,215.66006,54.25,131.05,91.05,366.0,54.4,79.3,119.65,60.38768,118.6,57.2,15.35,581.90002,5.092606544494629
2019-02-08,18.55,167.2,216.95,40.45,1.62235,51.65,221.71794,55.95,136.05,89.6,383.5,55.45,82.35,122.2,61.65328,119.25,59.5,15.45,591.45001,5.2134480476379395
2019-02-11,18.3,166.55,217.89999,41.95,1.63184,51.2,226.96808,56.5,138.45,91.3,393.0,58.9,81.85,122.2,62.46689,125.3,59.6,15.35,584.59998,5.178921222686768
2019-02-12,18.65,173.25,223.5,42.65,1.63659,51.2,228.17966,55.9,140.3,91.1,398.0,58.55,83.95,124.45,62.91889,126.9,59.9,15.2,605.54999,5.28249979019165
2019-02-13,18.35,166.60001,216.05,42.1,1.63184,50.7,222.1218,55.1,135.14999,87.8,393.0,57.8,81.5,122.9,62.46689,123.5,59.3,15.1,599.54999,5.299763202667236
2019-02-14,18.3,166.89999,221.55,42.2,1.69351,50.45,222.1218,55.4,136.14999,90.2,384.5,57.75,81.9,124.1,62.82849,123.95,58.8,15.05,605.20001,5.37744665145874
2019-02-15,19.0,164.05,220.60001,41.65,1.6603,50.25,218.08322,55.0,134.8,90.65,394.5,57.75,81.5,123.75,62.73809,122.3,58.5,15.8,603.45001,5.765866279602051
2019-02-18,20.0,160.55,217.10001,40.9,1.66505,50.2,223.33336,54.05,134.0,89.05,387.0,56.9,81.25,124.95,62.55729,120.8,57.7,16.6,594.09998,6.093864917755127
2019-02-19,19.55,155.8,205.2,40.25,1.6271,49.3,218.89093,52.65,128.55,86.4,383.5,54.1,77.7,119.0,61.02048,115.05,56.0,16.05,580.90002,5.860812664031982
2019-02-20,19.4,152.39999,204.89999,40.05,1.61287,49.05,218.08322,53.4,131.0,87.25,378.5,55.5,77.3,119.05,60.74927,116.9,55.2,15.35,588.5,5.903970718383789
2019-02-21,18.75,149.0,203.10001,40.1,1.60812,48.95,217.67935,51.75,127.8,88.3,370.0,53.25,74.4,121.95,61.29168,113.75,54.5,15.1,578.40002,6.137022018432617
2019-02-22,18.95,157.7,211.55,41.5,1.61761,49.45,222.1218,52.9,131.85001,91.85,370.0,53.75,77.7,121.5,64.63651,119.4,55.7,15.35,592.34998,6.119759559631348
2019-02-25,19.15,156.0,206.39999,41.45,1.60338,49.3,219.29478,52.6,131.5,90.85,367.5,53.45,75.65,118.4,64.90771,122.35,55.5,15.2,578.15002,6.137022018432617
2019-02-26,18.95,152.55,207.85001,40.65,1.59864,47.9,214.85236,52.0,129.75,90.25,368.0,53.25,76.0,118.9,64.90771,119.8,55.4,15.0,567.20001,6.145652770996094
2019-02-27,18.85,148.0,207.7,39.8,1.58915,48.25,214.04463,50.0,124.45,89.0,370.5,51.05,72.75,117.0,65.26931,116.5,55.0,14.7,561.0,6.042074203491211
2019-02-28,18.7,144.5,196.7,39.8,1.56069,48.25,208.79448,50.25,120.8,87.6,371.5,50.75,69.0,116.95,64.0037,114.5,55.0,14.6,554.20001,5.964391231536865
2019-03-01,18.85,140.75,187.39999,39.2,1.54171,48.3,204.35205,50.4,117.4,87.95,377.0,49.1,67.0,117.1,62.37649,111.5,54.0,14.55,550.15002,5.83491849899292
2019-03-04,,,,,,,,,,,,,,,,,,,,
2019-03-05,,,,,,,,,,,,,,,,,,,,
2019-03-06,18.4,138.0,177.5,39.0,1.49902,47.6,203.54433,50.1,108.7,90.2,368.0,47.8,61.5,118.0,59.66447,106.5,51.7,14.15,502.0,5.437867641448975
2019-03-07,18.5,144.75,184.95,40.05,1.50851,49.85,200.31348,51.25,109.1,90.35,361.5,50.1,63.5,125.9,62.82849,111.5,50.6,13.9,541.95001,5.386078357696533
2019-03-08,17.9,145.75,183.7,39.95,1.51325,49.3,193.85175,51.3,110.25,96.95,360.5,49.85,63.5,121.4,62.10528,116.4,51.0,13.7,535.90002,5.498288154602051
2019-03-11,18.05,147.14999,196.7,38.95,1.50851,48.7,196.27489,51.75,113.5,100.3,348.5,50.6,62.95,125.2,62.46689,119.95,52.3,13.85,560.70001,5.645024299621582
2019-03-12,18.2,142.25,189.10001,39.8,1.54646,49.2,196.27489,52.2,111.8,99.1,342.5,49.65,62.0,127.0,62.73809,116.75,51.9,14.25,568.0,5.903970718383789
2019-03-13,17.8,143.39999,193.55,39.4,1.5844,49.8,192.23631,51.45,113.65,99.5,336.0,50.7,61.55,126.1,63.3709,117.3,52.1,14.6,576.09998,5.912601947784424
2019-03-14,17.95,139.39999,191.7,39.15,1.57492,49.8,188.39967,49.65,111.35,97.65,337.5,48.85,59.95,123.9,62.82849,115.5,51.7,14.85,571.5,5.852181434631348
2019-03-15,18.15,143.7,199.14999,40.4,1.57966,50.15,190.82281,50.55,113.3,101.05,334.0,49.55,61.1,124.55,63.1901,116.65,52.5,15.0,576.84998,5.817655563354492
2019-03-18,17.75,149.60001,207.0,42.5,1.57492,50.0,192.64017,50.8,117.8,99.9,319.5,52.6,64.05,124.15,63.46129,121.05,53.4,15.5,584.90002,5.860812664031982
2019-03-19,17.6,146.75,209.25,41.0,1.6603,49.55,193.85175,49.6,116.35,102.8,309.5,50.7,60.85,125.7,61.92448,117.55,51.8,15.0,577.95001,5.852181434631348
2019-03-20,17.15,148.5,214.95,40.7,1.61287,51.0,190.21703,50.2,117.75,101.0,320.5,51.9,60.3,126.5,60.83968,118.95,50.5,14.8,592.45001,5.7831292152404785
2019-03-21,16.65,143.25,209.95,39.55,1.57492,51.15,187.39001,49.6,115.4,96.5,312.0,50.8,58.6,126.0,61.29168,117.0,49.8,14.5,593.5,5.550077438354492
2019-03-22,16.8,135.35001,194.7,38.7,1.51325,51.0,182.74565,46.5,108.5,94.0,305.5,48.2,55.25,125.0,61.74369,113.35,47.9,14.1,577.75,5.291131019592285
2019-03-25,16.65,138.35001,198.35001,39.65,1.49902,51.85,180.32251,46.5,113.1,98.4,305.0,47.85,55.65,127.5,60.56847,112.65,46.7,14.0,580.15002,5.394710063934326
2019-03-26,16.4,135.14999,195.45,40.0,1.48004,50.0,176.082,44.15,107.95,95.4,301.0,46.7,53.4,127.0,57.85645,111.05,44.55,14.45,589.34998,5.291131019592285
2019-03-27,16.75,134.14999,188.05,38.5,1.46581,49.5,177.4955,42.5,106.6,95.1,293.0,45.75,52.95,121.6,57.40445,109.1,44.0,14.7,591.09998,5.2566046714782715
2019-03-28,16.5,134.89999,192.39999,39.1,1.55594,51.0,184.36108,43.0,108.85,95.6,310.0,47.35,53.85,127.0,58.85086,113.0,45.85,15.05,595.40002,5.37744665145874
2019-03-29,17.25,137.95,198.75,39.85,1.57492,50.95,180.72636,43.1,110.7,97.0,311.5,48.1,53.0,126.8,58.57966,114.1,46.15,15.6,610.0,5.3601837158203125
2019-04-01,16.85,136.14999,200.75,39.1,1.52748,50.75,184.15916,41.5,108.6,95.4,307.5,45.9,52.5,125.7,56.59084,115.0,44.55,14.75,616.15002,5.291131019592285
2019-04-02,,,,,,,,,,,,,,,,,,,,
2019-04-03,16.3,128.39999,184.14999,37.0,1.48479,48.45,175.07236,40.7,104.1,93.6,297.0,44.2,49.4,122.4,55.05403,107.35,41.9,14.75,614.70001,5.049448013305664
2019-04-04,16.2,130.39999,189.89999,37.55,1.47056,48.9,169.62029,41.35,107.05,93.25,289.5,44.0,50.75,122.05,53.51722,107.05,41.95,14.75,629.65002,5.040816783905029
2019-04-05,16.85,132.10001,199.89999,38.45,1.46107,48.8,170.02414,40.75,109.55,96.35,290.0,44.05,52.55,123.5,53.06522,106.65,41.8,15.05,638.75,5.040816783905029
2019-04-08,17.05,132.60001,206.39999,38.3,1.46107,48.4,168.81256,39.85,110.6,94.6,290.0,44.65,55.55,124.5,51.98041,109.9,41.2,15.0,652.15002,4.963132858276367
2019-04-09,16.05,126.45,199.64999,36.05,1.42786,47.0,167.19713,37.45,105.15,94.15,277.5,42.5,52.05,124.4,48.18357,102.2,39.05,14.05,637.04999,4.885448455810547
2019-04-10,16.45,128.3,206.25,35.3,1.42786,47.45,165.37978,37.8,108.7,93.95,280.0,42.5,51.25,123.8,48.81638,103.7,39.0,14.7,641.95001,4.945869445800781
2019-04-11,15.85,126.4,197.05,35.0,1.40889,46.5,159.92769,37.45,105.7,93.0,278.5,41.15,51.35,122.0,50.08199,102.75,39.4,14.1,632.0,4.833659648895264
2019-04-12,15.05,128.7,204.05,34.7,1.39466,45.2,158.51419,36.8,107.9,95.1,284.0,40.5,50.4,120.8,50.986,101.75,38.7,13.4,621.15002,4.8768181800842285
2019-04-15,14.65,132.05,206.7,35.25,1.39466,44.8,161.54312,37.15,111.1,100.0,276.0,41.5,51.35,121.2,50.986,104.8,40.05,12.85,623.20001,5.118500709533691
2019-04-16,15.1,134.0,210.0,37.0,1.41363,45.75,173.65886,37.35,110.8,101.0,277.0,42.2,51.6,126.3,51.0,106.5,39.8,13.0,638.15002,5.334290027618408
2019-04-17,14.8,131.95,214.8,36.9,1.37568,44.85,166.18748,37.55,110.5,100.95,274.0,41.35,51.2,127.0,50.9,92.65,39.85,12.75,631.90002,5.308394908905029
2019-04-18,,,,,,,,,,,,,,,,,,,,
2019-04-22,14.75,123.2,201.95,35.0,1.33299,42.95,159.3219,37.5,103.85,97.5,263.0,40.0,47.7,122.0,51.8,93.35,39.4,12.25,615.0,5.2566046714782715
2019-04-23,14.8,124.05,199.7,35.3,1.33773,42.3,155.68718,38.3,104.0,96.5,264.5,39.85,47.9,121.5,52.0,96.5,39.8,12.2,629.40002,5.299763202667236
2019-04-24,14.35,114.9,189.85001,34.45,1.27132,43.85,145.38881,37.0,96.9,87.9,249.25,38.3,44.25,125.0,50.7,91.7,38.3,11.2,624.65002,5.178921222686768
2019-04-25,14.4,116.45,186.05,33.45,1.3235,44.45,144.17723,39.8,95.25,84.8,263.5,38.7,47.15,120.9,51.4,91.1,38.85,11.2,612.5,5.161657810211182
2019-04-26,15.45,120.65,190.55,35.05,1.30453,45.4,142.35988,38.2,97.6,90.9,284.0,38.2,46.75,124.0,51.8,93.0,39.1,11.65,615.0,5.317025184631348
2019-04-29,15.1,114.4,177.85001,33.4,1.28555,45.0,137.10973,37.5,95.2,86.4,294.5,36.2,44.95,118.55,51.1,88.25,38.65,11.35,586.34998,5.230710029602051
2019-04-30,15.4,119.5,180.5,35.4,1.33773,44.5,151.64861,38.8,96.95,88.0,301.0,37.45,44.85,118.6,53.3,90.4,39.25,11.55,600.0,5.383991718292236
2019-05-01,,,,,,,,,,,,,,,,,,,,
2019-05-02,15.45,123.4,197.2,37.75,1.34247,44.8,155.88911,39.5,104.0,89.55,304.0,39.2,48.1,121.0,54.1,95.75,40.05,11.7,610.25,5.556432723999023
2019-05-03,15.5,132.05,214.85001,39.15,1.37568,45.0,164.77399,40.15,109.2,93.7,313.0,41.5,51.55,122.5,57.6,97.9,42.95,12.45,642.79999,5.556432723999023
2019-05-06,15.45,131.05,215.2,38.8,1.38991,45.9,172.64922,41.8,109.25,92.95,323.0,42.15,52.0,129.0,59.5,103.0,45.45,13.25,659.20001,5.690554141998291
2019-05-07,15.2,129.60001,208.5,39.15,1.38042,46.1,167.19713,41.25,105.35,88.7,318.5,41.45,48.9,133.45,60.0,102.95,44.85,13.15,669.0,5.652234077453613
2019-05-08,15.0,133.39999,214.3,40.0,1.41837,46.8,177.4955,42.85,111.1,92.3,328.0,43.0,49.95,141.7,63.1,106.0,46.3,13.7,679.0,5.7480340003967285
2019-05-09,14.85,137.89999,216.39999,41.9,1.40889,47.9,180.12057,43.45,113.9,93.55,328.0,43.0,49.95,142.3,65.6,103.45,47.1,13.65,682.0,5.738452911376953
2019-05-10,15.5,131.35001,210.05,39.55,1.38042,46.8,172.85114,43.0,111.7,92.25,333.0,41.8,48.55,134.89999,66.0,103.1,46.55,13.55,659.79999,5.690554141998291
2019-05-13,15.7,125.15,194.60001,37.95,1.36145,43.6,162.14891,42.1,107.4,90.55,323.0,40.55,47.0,131.8,66.9,100.5,46.55,13.55,641.65002,5.738452911376953
2019-05-14,15.25,124.95,196.5,35.75,1.37568,44.15,160.33154,41.15,108.85,87.0,319.0,40.85,47.45,131.25,66.8,102.4,39.1,13.5,657.75,5.738452911376953
2019-05-15,15.35,128.10001,200.2,35.5,1.43261,44.8,162.14891,41.5,111.9,88.9,328.0,41.8,49.65,133.3,68.0,104.1,39.1,13.4,684.40002,5.728874206542969
2019-05-16,15.45,130.95,207.35001,34.8,1.44684,45.5,170.62993,42.1,114.95,88.5,329.0,42.65,50.85,137.75,68.2,102.85,39.05,13.2,704.34998,5.738452911376953
2019-05-17,15.6,129.0,203.7,34.1,1.42786,43.55,176.88972,42.3,110.7,85.3,318.0,41.25,48.75,136.89999,67.8,105.2,38.2,13.2,697.15002,5.671394348144531
2019-05-20,15.3,129.0,208.3,33.25,1.42312,43.55,183.35144,40.8,112.6,85.3,324.0,41.9,49.7,133.75,67.9,106.25,38.65,13.0,699.09998,5.671394348144531
2019-05-21,15.5,138.10001,218.14999,35.05,1.44684,44.4,183.14952,41.9,117.25,84.75,329.0,45.0,54.7,138.0,70.0,108.15,39.2,13.0,687.65002,5.7480340003967285
2019-05-22,15.4,136.85001,220.95,34.3,1.38042,44.4,182.3418,41.3,117.55,82.9,325.5,46.15,53.1,141.45,70.0,112.25,38.8,12.8,685.0,5.728874206542969
2019-05-23,15.35,139.2,219.8,34.0,1.37568,44.15,178.50514,41.0,117.65,81.65,323.5,45.85,52.25,140.89999,69.9,112.9,38.4,12.7,674.95001,5.671394348144531
2019-05-24,15.2,143.64999,226.14999,35.35,1.43261,44.7,184.56302,42.05,119.95,87.9,322.5,46.75,52.7,143.05,69.0,115.6,39.5,12.9,691.45001,5.633073806762695
2019-05-27,15.25,144.89999,227.75,35.9,1.45158,45.1,184.56302,42.8,119.85,88.5,317.5,48.35,53.4,143.85001,69.4,116.5,39.8,12.9,699.40002,5.700133800506592
2019-05-28,15.2,136.3,218.0,34.55,1.43735,45.8,180.12057,41.85,115.8,83.45,316.0,46.5,53.9,140.7,69.2,114.5,39.75,12.8,698.40002,5.652234077453613
2019-05-29,15.15,130.64999,215.55,34.5,1.3994,45.5,178.50514,40.6,114.15,84.55,313.5,46.15,54.0,133.10001,69.4,113.7,39.8,12.8,669.79999,5.700133800506592
2019-05-30,14.9,132.89999,223.39999,35.75,1.38991,45.25,178.90901,40.05,115.95,89.4,307.0,46.65,53.95,130.35001,69.7,117.45,39.2,12.6,669.95001,5.680974006652832
2019-05-31,14.85,134.3,223.85001,35.9,1.38517,44.7,176.88972,38.85,114.7,89.45,307.0,45.45,52.35,132.60001,69.0,116.35,38.65,12.35,663.15002,5.776773452758789
2019-06-03,14.95,130.25,225.05,34.6,1.37568,43.8,176.88972,38.45,112.1,87.75,305.5,45.6,50.45,133.55,67.6,117.7,37.55,12.3,670.25,5.853415012359619
2019-06-04,15.0,136.8,239.14999,35.6,1.38042,43.5,175.88008,38.5,117.9,90.1,310.0,47.45,54.0,132.55,68.0,118.15,37.75,12.45,674.20001,6.26535701751709
2019-06-05,15.0,140.3,245.05,35.9,1.35671,42.7,174.6685,38.4,121.05,92.8,312.5,49.1,55.4,139.95,68.6,119.5,37.9,12.2,675.34998,6.399477005004883
