,weights,weights
ALUA,0.07818177613541964,0.09307573240416785
BBAR,0.04354744543632267,0.03321072759266891
BMA,0.052573269681079254,0.05866775413153073
CEPU,0.048691045864490856,0.02753764578256812
COME,0.04975731762129782,0.028404897616404134
CRES,0.0392271655261989,0.04697020941555208
CVH,0.03234458048206949,0.02704796446194353
EDN,0.05988837400565737,0.05938215804957874
GGAL,0.027771662236944727,0.05361321831886612
LOMA,0.021093623147004113,0.03773485642591817
MIRG,0.0522131184399891,0.015064160864782782
PAMP,0.08018022369302098,0.07786273046731405
SUPV,0.012840083283562571,0.026028651998525196
TECO2,0.05893192468124893,0.030532593948670084
TGNO4,0.04943695925098593,0.048443236548919494
TGSU2,0.055613070103015236,0.06131892772812422
TRAN,0.030348689409114005,0.036017227526074336
TXAR,0.07693235173554487,0.09418263925817598
YPFD,0.09455608561669733,0.1069664831905491
VALO,0.03587123365033618,0.03793818426966638
